Latitude,Longitude,CrimeCount
41.722389451,-87.581629631,7
41.722421445,-87.604486948,7
41.722427751,-87.578680397,10
41.722445994,-87.577280883,18
41.722460108,-87.576090212,13
41.722472022,-87.574983819,8
41.72253637,-87.643098393,7
41.7225474,-87.568964465,11
41.722550824,-87.577363905,8
41.722569901,-87.632317519,7
41.722573058,-87.567048361,6
41.722578383,-87.662706548,27
41.72271382,-87.642030528,6
41.722768379,-87.624410361,11
41.722938808,-87.662863977,60
41.723005114,-87.623638502,8
41.723595822,-87.662586073,6
41.72363784,-87.662732163,21
41.723858712,-87.604368136,13
41.723886129,-87.585150812,10
41.723892277,-87.682159034,8
41.724065131,-87.644499685,6
41.724413578,-87.657892321,6
41.724927226,-87.623815165,23
41.725294148,-87.623682914,45
41.725300675,-87.604556978,7
41.725371878,-87.549497417,10
41.725407082,-87.607493712,7
41.72550966,-87.585403058,6
41.725605945,-87.630207439,13
41.725750867,-87.632367197,6
41.725762292,-87.57787575,6
41.725786105,-87.662640221,9
41.725803425,-87.662786572,7
41.72582033,-87.653056698,9
41.725886652,-87.58555987,9
41.725898252,-87.598846483,6
41.725908389,-87.598285884,7
41.725919003,-87.550047586,6
41.725982183,-87.593108809,8
41.726008504,-87.682221922,10
41.726021676,-87.57559048,6
41.72608372,-87.56921195,10
41.726088445,-87.586205934,8
41.726133546,-87.582179443,9
41.726219145,-87.567294437,35
41.726245552,-87.573752532,7
41.726258423,-87.550724838,6
41.726286631,-87.570425764,6
41.726328763,-87.567271155,33
41.726492216,-87.592619396,6
41.72649948,-87.592469116,6
41.726624457,-87.66052142,9
41.726721473,-87.653226695,6
41.726743967,-87.573178844,6
41.726774564,-87.575317872,10
41.726775253,-87.656292347,7
41.72688321,-87.64079158,6
41.727096769,-87.603034703,18
41.727172492,-87.570755976,6
41.727195776,-87.554992264,6
41.727250719,-87.58684821,10
41.727350405,-87.59505667,6
41.727406842,-87.588069969,6
41.72747862,-87.603096319,6
41.727483642,-87.60475211,13
41.727503651,-87.596271158,6
41.727575469,-87.59506142,7
41.727590123,-87.585023579,10
41.727689557,-87.588077692,6
41.727706359,-87.586861252,6
41.727707947,-87.551205466,9
41.727725583,-87.585597159,8
41.727852054,-87.661611296,6
41.727872617,-87.551207132,7
41.728035565,-87.551359019,6
41.728161997,-87.662992842,9
41.728172794,-87.551361018,22
41.728314397,-87.667966199,7
41.728319311,-87.545091126,6
41.728331299,-87.667094127,11
41.72838706,-87.662997829,8
41.728505284,-87.607473491,11
41.728532927,-87.596296027,7
41.728625864,-87.58561969,9
41.72863262,-87.553604794,8
41.728740726,-87.604781868,6
41.728835841,-87.604634255,9
41.728845764,-87.629560314,10
41.728852906,-87.554118677,16
41.728909107,-87.551080993,15
41.728973485,-87.554498219,27
41.728990485,-87.544119431,8
41.729170867,-87.551235346,39
41.729171506,-87.55456177,22
41.729258696,-87.55446913,15
41.72930613,-87.604793796,13
41.729381046,-87.59631564,6
41.729473124,-87.662880297,6
41.729517725,-87.599662512,7
41.729517889,-87.585638654,6
41.729526099,-87.555052058,6
41.729544162,-87.551245472,6
41.729578029,-87.659234019,6
41.729587186,-87.584901487,6
41.729618252,-87.551244573,19
41.729648829,-87.636145859,8
41.72974619,-87.547070292,6
41.729753759,-87.551396797,7
41.7297935,-87.555634992,10
41.729843669,-87.662891098,7
41.72991452,-87.660457782,7
41.729977377,-87.550382955,22
41.729981065,-87.54971615,11
41.729981568,-87.551401361,20
