Block,CrimeCount
028XX W 58 ST,1
028XX W 59 ST,11
028XX W 59TH ST,13
028XX W 60TH ST,1
028XX W 61ST ST,1
028XX W 62 ST,1
028XX W 62ND ST,2
028XX W 63 ST,45
028XX W 63RD ST,38
028XX W 64 ST,9
028XX W 64TH ST,10
028XX W 65 ST,9
028XX W 65TH ST,6
028XX W 66 ST,3
028XX W 66TH ST,9
028XX W 71 ST,16
028XX W 71ST ST,23
028XX W 72ND ST,1
028XX W 73RD ST,1
028XX W 79 ST,8
028XX W 79TH ST,13
028XX W 81 ST,3
028XX W 81ST ST,4
028XX W 82 ST,2
028XX W 82ND ST,1
028XX W 83 PL,4
028XX W 83 ST,5
028XX W 83RD PL,2
028XX W 83RD ST,2
028XX W 84 PL,3
028XX W 84 ST,9
028XX W 84TH PL,4
028XX W 84TH ST,3
028XX W 85 ST,6
028XX W 85TH PL,3
028XX W 85TH ST,7
028XX W 86 PL,3
028XX W 86TH PL,3
028XX W 86TH ST,1
028XX W 87 ST,6
028XX W 87TH ST,10
028XX W 95 ST,1
028XX W ADAMS ST,20
028XX W ADDISON ST,9
028XX W AINSLIE ST,1
028XX W ALBION AV,5
028XX W ALBION AVE,1
028XX W ALTGELD ST,9
028XX W ARDMORE AV,1
028XX W ARGYLE ST,3
028XX W ARMITAGE AV,41
028XX W ARMITAGE AVE,12
028XX W ARTHINGTON ST,96
028XX W ARTHUR AV,5
028XX W ARTHUR AVE,5
028XX W AUGUSTA BL,15
028XX W AUGUSTA BLVD,11
028XX W AUGUSTA BV,2
028XX W BALMORAL AV,4
028XX W BALMORAL AVE,1
028XX W BARRY AV,7
028XX W BARRY AVE,6
028XX W BELDEN AV,4
028XX W BELDEN AVE,11
028XX W BELLE PLAINE AV,5
028XX W BELLE PLAINE AVE,2
028XX W BELMONT AV,10
028XX W BELMONT AVE,9
028XX W BERTEAU AVE,1
028XX W BERWYN AV,2
028XX W BERWYN AVE,1
028XX W BIRCHWOOD AV,3
028XX W BIRCHWOOD AVE,2
028XX W BLOOMINGDALE TRL,2
028XX W BRYN MAWR AV,1
028XX W BRYN MAWR AVE,1
028XX W BYRON ST,8
028XX W CALIFORNIA AV I55,1
028XX W CARMEN AVE,1
028XX W CATALPA AVE,1
028XX W CERMAK RD,76
028XX W CHASE AV,3
028XX W CHASE AVE,5
028XX W CHICAGO AV,9
028XX W CHICAGO AVE,5
028XX W COLUMBUS AV,2
028XX W CONGRESS PKWY,13
028XX W CONGRESS PW,17
028XX W CORTEZ ST,14
028XX W CORTLAND ST,4
028XX W COYLE AV,1
028XX W COYLE AVE,5
028XX W CULLERTON ST,18
028XX W CULLOM AV,5
028XX W CULLOM AVE,3
028XX W DEVON AV,26
028XX W DEVON AVE,22
028XX W DICKENS AV,8
028XX W DICKENS AVE,1
028XX W DIVERSEY AV,31
028XX W DIVERSEY AVE,15
028XX W DIVISION ST,56
028XX W EASTWOOD AV,2
028XX W ESTES AV,2
028XX W ESTES AVE,3
028XX W FARGO AV,1
028XX W FARGO AVE,1
028XX W FARRAGUT AV,7
028XX W FARRAGUT AVE,6
028XX W FIFTH AV,14
028XX W FIFTH AVE,5
028XX W FILLMORE ST,10
028XX W FITCH AV,4
028XX W FITCH AVE,3
028XX W FLETCHER ST,13
028XX W FLOURNOY ST,77
028XX W FOSTER AV,1
028XX W FOSTER AVE,3
028XX W FULLERTON AV,29
028XX W FULLERTON AVE,10
028XX W FULTON ST,29
028XX W GARFIELD BV,4
028XX W GIDDINGS ST,3
028XX W GLENLAKE AV,4
028XX W GLENLAKE AVE,2
028XX W GRACE ST,5
028XX W GRAND AV,2
028XX W GRAND AVE,3
028XX W GRANVILLE AV,3
028XX W GRANVILLE AVE,2
028XX W GREENLEAF AV,4
028XX W GREENLEAF AVE,3
028XX W GREGORY ST,2
028XX W HARRISON ST,48
028XX W HENDERSON ST,14
028XX W HOLLYWOOD AV,2
028XX W HOLLYWOOD AVE,1
028XX W HOWARD ST,12
028XX W IRVING PARK RD,55
028XX W JACKSON BL,12
028XX W JACKSON BLVD,32
028XX W JACKSON BV,15
028XX W JARLATH ST,1
028XX W JARVIS AV,2
028XX W JEROME ST,3
028XX W LAKE ST,19
028XX W LAWRENCE AV,12
028XX W LAWRENCE AVE,6
028XX W LELAND AVE,1
028XX W LEXINGTON ST,31
028XX W LOGAN BL,8
028XX W LOGAN BLVD,5
028XX W LUIS MUNOZ MARIN DR N,1
028XX W LUIS MUNOZ MARIN DR S,1
028XX W LUNT AV,6
028XX W LUNT AVE,6
028XX W LYNDALE ST,34
028XX W MADISON ST,90
028XX W MARQUETTE RD,18
028XX W MC LEAN AV,2
028XX W MC LEAN AVE,3
028XX W MCLEAN AV,9
028XX W MEDILL AV,4
028XX W MEDILL AVE,16
028XX W MELROSE ST,6
028XX W MONROE ST,32
028XX W MONTROSE AV,9
028XX W MONTROSE AVE,12
028XX W NELSON ST,11
028XX W NORTH AV,30
028XX W NORTH AVE,15
028XX W NORTH SHORE AV,2
028XX W NORTH SHORE AVE,2
028XX W North Ave,1
028XX W OGDEN AV,19
028XX W OGDEN AVE,2
028XX W PALMER ST,28
028XX W PERSHING RD,14
028XX W PETERSON AV,12
028XX W PETERSON AVE,2
028XX W POLK ST,44
028XX W POPE JOHN PAUL II DR,5
028XX W PRATT BL,1
028XX W PRATT BLVD,4
028XX W RASCHER AV,12
028XX W RASCHER AVE,1
028XX W ROOSEVELT RD,64
028XX W ROSCOE ST,2
028XX W ROSEMONT AV,6
028XX W ROSEMONT AVE,3
028XX W SEIPP ST,4
028XX W SHAKESPEARE AV,13
028XX W SHAKESPEARE AVE,2
028XX W SHERWIN AV,2
028XX W SHERWIN AVE,1
028XX W SUMMERDALE AV,2
028XX W SUMMERDALE AVE,4
028XX W TAYLOR ST,3
028XX W THOMAS ST,4
028XX W TOUHY AV,11
028XX W TOUHY AVE,5
028XX W VAN BUREN ST,10
028XX W WABANSIA AV,4
028XX W WABANSIA AVE,3
028XX W WALNUT ST,9
028XX W WALTON ST,15
028XX W WARREN BL,9
028XX W WARREN BLVD,18
028XX W WARREN BV,15
028XX W WASHINGTON BL,7
028XX W WASHINGTON BLVD,36
028XX W WASHINGTON BV,21
028XX W WAVELAND AV,3
028XX W WAVELAND AVE,1
028XX W WELLINGTON AV,4
028XX W WILCOX ST,62
028XX W WILSON AV,3
028XX W WILSON AVE,1
029XX E 100 ST,2
029XX E 100TH ST,2
029XX E 101 ST,3
029XX E 101ST ST,1
029XX E 126 ST,2
029XX E 126TH ST,5
029XX E 130TH ST,2
029XX E 132 ST,1
029XX E 132ND ST,1
029XX E 133 ST,1
029XX E 77 ST,5
029XX E 77TH ST,3
029XX E 78 PL,7
029XX E 78 ST,18
029XX E 78TH PL,1
029XX E 78TH ST,19
029XX E 79 ST,6
029XX E 79TH ST,4
029XX E 80 PL,15
029XX E 80 ST,5
029XX E 80TH PL,1
029XX E 80TH ST,2
029XX E 81 ST,10
029XX E 81ST PL,1
029XX E 81ST ST,4
029XX E 82 ST,9
029XX E 82ND ST,2
029XX E 83 ST,18
029XX E 83RD ST,15
029XX E 85 ST,1
029XX E 85TH ST,1
029XX E 86 ST,1
029XX E 86TH ST,1
029XX E 87 ST,22
029XX E 87TH ST,4
029XX E 88 ST,3
029XX E 88TH ST,2
029XX E 89 ST,9
029XX E 89 STREET,1
029XX E 89TH ST,2
029XX E 90 ST,7
029XX E 90TH ST,3
029XX E 91 ST,17
029XX E 91ST ST,14
029XX E 92 ST,2
029XX E 92ND ST,1
029XX E 95 ST,3
029XX E 95TH ST,2
029XX E 96 ST,1
029XX E 96TH ST,3
029XX E 97 ST,1
029XX E 97TH ST,2
029XX E 98TH ST,3
029XX E 99 ST,1
029XX N ALBANY AV,22
029XX N ALBANY AVE,11
029XX N ALLEN AV,24
029XX N ALLEN AVE,5
029XX N ASHLAND AV,62
029XX N ASHLAND AVE,29
029XX N AUSTIN AV,4
029XX N AUSTIN AVE,2
029XX N AVERS AV,21
029XX N AVERS AVE,2
029XX N AVONDALE AV,2
029XX N BROADWAY,41
029XX N BURLING ST,8
029XX N CALIFORNIA AV,4
029XX N CALIFORNIA AVE,7
029XX N CAMPBELL AV,1
029XX N CAMPBELL AVE,1
029XX N CENTRAL AV,30
029XX N CENTRAL AVE,6
029XX N CENTRAL PARK AV,10
029XX N CENTRAL PARK AVE,5
029XX N CICERO AV,28
029XX N CICERO AVE,12
029XX N CLARK ST,45
029XX N CLYBOURN AV,83
029XX N CLYBOURN AVE,23
029XX N COMMONWEALTH AV,9
029XX N COMMONWEALTH AVE,1
029XX N Clark St,1
029XX N DAMEN AV,40
029XX N DAMEN AVE,6
029XX N DAWSON AV,12
029XX N DAWSON AVE,3
029XX N ELSTON AV,15
029XX N FAIRFIELD AV,11
029XX N FAIRFIELD AVE,3
029XX N FRANCISCO AV,1
029XX N FRANCISCO AVE,1
029XX N GRESHAM AV,26
029XX N GRESHAM AVE,4
029XX N HALSTED ST,19
029XX N HAMLIN AV,24
029XX N HAMLIN AVE,8
029XX N HARDING AV,13
029XX N HARDING AVE,4
029XX N HARLEM AV,6
029XX N HARLEM AVE,21
029XX N HONORE ST,2
029XX N HOYNE AV,6
029XX N HOYNE AVE,7
029XX N KARLOV AV,7
029XX N KARLOV AVE,1
029XX N KEARSARGE AVE,1
029XX N KEATING AV,17
029XX N KEATING AVE,5
029XX N KEDZIE AV,13
029XX N KEDZIE AVE,8
029XX N KENNETH AV,9
029XX N KENNETH AVE,4
029XX N KENOSHA AV,7
029XX N KENOSHA AVE,2
029XX N KILBOURN AV,8
029XX N KILBOURN AVE,4
029XX N KILDARE AV,7
029XX N KILDARE AVE,10
029XX N KILPATRICK AV,4
029XX N KILPATRICK AVE,5
029XX N KIMBALL AV,4
029XX N KIMBALL AVE,1
029XX N KOLMAR AV,15
029XX N KOLMAR AVE,8
029XX N KOSTNER AV,11
029XX N KOSTNER AVE,4
029XX N LAKE SHORE DR,60
029XX N LAKEWOOD AV,3
029XX N LAMON AV,5
029XX N LAMON AVE,3
029XX N LARAMIE AV,4
029XX N LARAMIE AVE,6
029XX N LAVERGNE AV,5
029XX N LAVERGNE AVE,2
029XX N LAWNDALE AV,13
029XX N LAWNDALE AVE,16
029XX N LEAVITT ST,14
029XX N LECLAIRE AV,1
029XX N LECLAIRE AVE,1
029XX N LINCOLN AV,8
029XX N LINCOLN AVE,12
029XX N LINDER AV,12
029XX N LINDER AVE,8
029XX N LOCKWOOD AV,4
029XX N LOCKWOOD AVE,3
029XX N LONG AV,5
029XX N LONG AVE,7
029XX N LOTUS AV,5
029XX N LOWELL AV,3
029XX N LOWELL AVE,2
029XX N LUNA AV,7
029XX N LUNA AVE,9
029XX N MAJOR AV,4
029XX N MAJOR AVE,9
029XX N MANGO AV,4
029XX N MANGO AVE,7
029XX N MAPLEWOOD AV,1
029XX N MARMORA AV,12
029XX N MARMORA AVE,5
029XX N MASON AV,11
029XX N MASON AVE,6
029XX N MC VICKER AV,3
029XX N MC VICKER AVE,8
029XX N MCVICKER AV,8
029XX N MEADE AV,2
029XX N MEADE AVE,2
029XX N MELVINA AV,6
029XX N MELVINA AVE,4
029XX N MENARD AV,4
029XX N MENARD AVE,5
029XX N MERRIMAC AV,2
029XX N MERRIMAC AVE,1
029XX N MILDRED AV,7
029XX N MILDRED AVE,4
029XX N MILWAUKEE AV,69
029XX N MILWAUKEE AVE,34
029XX N MOBILE AV,6
029XX N MOBILE AVE,1
029XX N MONITOR AV,7
029XX N MONITOR AVE,4
029XX N MONT CLARE AV,1
029XX N MONTCLARE AV,1
029XX N MONTCLARE AVE,1
029XX N MOODY AV,5
029XX N MOODY AVE,3
029XX N MOZART ST,1
029XX N MULLIGAN AV,4
029XX N MULLIGAN AVE,3
029XX N Mildred Ave,2
029XX N NAGLE AV,2
029XX N NAGLE AVE,4
029XX N NARRAGANSETT AV,8
029XX N NARRAGANSETT AVE,8
029XX N NASHVILLE AV,2
029XX N NASHVILLE AVE,1
029XX N NATCHEZ AV,10
029XX N NATCHEZ AVE,9
029XX N NATOMA AV,3
029XX N NATOMA AVE,7
029XX N NEENAH AV,7
029XX N NEENAH AVE,3
029XX N NEVA AV,4
029XX N NEVA AVE,1
029XX N NEW ENGLAND AV,5
029XX N NEW ENGLAND AVE,3
029XX N NEWCASTLE AV,3
029XX N NEWCASTLE AVE,8
029XX N NEWLAND AV,2
029XX N NORA AV,1
029XX N NORDICA AV,2
029XX N NORDICA AVE,3
029XX N NORMANDY AV,6
029XX N NORMANDY AVE,1
029XX N Nagle ave,1
029XX N OAK PARK AV,1
029XX N OAK PARK AVE,5
029XX N PARKSIDE AV,6
029XX N PARKSIDE AVE,4
029XX N PAULINA ST,2
029XX N PINE GROVE AV,7
029XX N PINE GROVE AVE,3
029XX N PULASKI  RD,1
029XX N PULASKI RD,26
029XX N RACINE AV,8
029XX N RACINE AVE,6
029XX N RICHMOND ST,7
029XX N RIDGEWAY AV,31
029XX N RIDGEWAY AVE,11
029XX N ROCKWELL ST,16
029XX N RUTHERFORD AV,2
029XX N RUTHERFORD AVE,10
029XX N SACRAMENTO AV,19
029XX N SACRAMENTO AVE,4
029XX N SAWYER AV,11
029XX N SAWYER AVE,4
029XX N SAYRE AVE,3
029XX N SEELEY AV,8
029XX N SEELEY AVE,7
029XX N SEMINARY AV,4
029XX N SEMINARY AVE,2
029XX N SHEFFIELD AV,15
029XX N SHEFFIELD AVE,14
029XX N SHERIDAN RD,55
029XX N SOUTHPORT AV,7
029XX N SPAULDING AV,7
029XX N SPAULDING AVE,6
029XX N SPRINGFIELD AV,20
029XX N SPRINGFIELD AVE,10
029XX N Sheridan Rd,1
029XX N Sheridan rd,1
029XX N TALMAN AV,7
029XX N TALMAN AVE,1
029XX N TROY ST,12
029XX N WASHTENAW AV,13
029XX N WASHTENAW AVE,2
029XX N WESTERN AV,10
029XX N WESTERN AVE,4
029XX N WHIPPLE ST,18
029XX N WISNER AV,5
029XX N WISNER AVE,4
029XX N WOLCOTT AV,1
029XX N WOODARD ST,8
029XX S ARCH ST,10
029XX S ARCHER AV,34
029XX S ARCHER AVE,27
029XX S ASHLAND AV,1
029XX S BONAPARTE ST,7
029XX S BONFIELD ST,17
029XX S BROAD ST,3
029XX S CALIFORNIA AV,5
029XX S CALIFORNIA BL,3
029XX S CALIFORNIA BLVD,2
029XX S CANAL ST,9
029XX S COTTAGE GROVE,3
029XX S DEARBORN ST,234
029XX S DEARBORN ST.,1
029XX S DR MARTIN LUTHER KING JR DR,64
029XX S DR MARTN LUTHR KING JR DR,21
029XX S ELIAS CT,10
029XX S ELLIS AV,32
029XX S ELLIS AVE,1
029XX S EMERALD AV,11
029XX S EMERALD AVE,4
029XX S FARRELL ST,7
029XX S FEDERAL ST,235
029XX S FORT DEARBORN,7
029XX S HALSTED ST,13
029XX S HAYNES CT,2
029XX S HILLOCK AVE,2
029XX S INDIANA AV,19
029XX S INDIANA AVE,6
029XX S KEELEY ST,12
029XX S KING DR,24
029XX S LA SALLE ST,1
029XX S LAKE PARK AV,3
029XX S LAKE SHORE DR,1
029XX S LAKE SHORE DR SB,2
029XX S LOOMIS ST,27
029XX S LOWE AV,11
029XX S LOWE AVE,1
029XX S LYMAN ST,20
029XX S MICHIGAN AV,31
029XX S MICHIGAN AVE,21
029XX S NORMAL AV,7
029XX S NORMAL AVE,6
029XX S PARNELL AV,3
029XX S PARNELL AVE,7
029XX S POPLAR AV,16
029XX S POPLAR AVE,10
029XX S PRAIRIE AV,1
029XX S PRINCETON AV,7
029XX S PRINCETON AVE,5
029XX S PULASKI RD,1
029XX S QUINN ST,9
029XX S SHIELDS AVE,3
029XX S STATE ST,387
029XX S STEWART AV,1
029XX S THROOP ST,10
029XX S UNION AV,10
029XX S UNION AVE,7
029XX S VERNON AV,16
029XX S VERNON AVE,11
029XX S WABASH AV,9
029XX S WABASH AVE,10
029XX S WALLACE ST,10
029XX S WELLS ST,6
029XX S WENTWORTH AV,11
029XX S WENTWORTH AVE,8
029XX S WESTERN AVE,2
029XX W 102ND PL,1
029XX W 111 ST,2
029XX W 111TH ST,3
029XX W 19 ST,7
029XX W 19TH ST,1
029XX W 23 ST,2
029XX W 23RD ST,1
029XX W 24 ST,9
029XX W 24TH BLVD,2
029XX W 25 PL,15
029XX W 25 ST,16
029XX W 25TH PL,7
029XX W 25TH ST,19
029XX W 26 ST,1
029XX W 26TH ST,1
029XX W 31 ST,3
029XX W 31ST ST,2
029XX W 35TH ST,1
029XX W 36 PL,5
029XX W 36 ST,2
029XX W 36TH ST,5
029XX W 38 PL,5
029XX W 38 ST,9
029XX W 38 STREET,1
029XX W 38TH PL,11
029XX W 38TH ST,3
029XX W 39 PL,5
029XX W 39TH PL,4
029XX W 40 PL,6
029XX W 40 ST,11
029XX W 40TH PL,2
029XX W 40TH ST,10
029XX W 42 ST,1
029XX W 42ND ST,1
029XX W 43 ST,1
029XX W 44TH ST,2
029XX W 45 ST,1
029XX W 45TH ST,1
029XX W 46TH ST,2
029XX W 47 ST,41
029XX W 47TH ST,10
029XX W 51ST ST,1
029XX W 53 ST,2
029XX W 53RD ST,1
029XX W 54 ST,1
029XX W 54TH ST,1
029XX W 55 ST,9
029XX W 55TH ST,8
029XX W 56 ST,5
029XX W 56TH ST,6
029XX W 57 ST,4
029XX W 57TH ST,2
029XX W 58 ST,4
029XX W 58TH ST,2
029XX W 59 ST,15
029XX W 59TH ST,23
029XX W 60 ST,8
029XX W 60TH ST,3
029XX W 61 ST,2
029XX W 61ST ST,4
029XX W 62 ST,6
029XX W 62ND ST,3
029XX W 63 ST,43
029XX W 63RD ST,27
029XX W 64 ST,14
029XX W 64TH ST,10
029XX W 65 ST,9
029XX W 65TH ST,5
029XX W 66 ST,3
029XX W 66TH ST,3
029XX W 71 ST,10
029XX W 71ST ST,8
029XX W 72ND ST,1
029XX W 73RD ST,2
029XX W 79 ST,2
029XX W 80 ST,1
029XX W 80TH ST,3
029XX W 81 ST,2
029XX W 81ST ST,4
029XX W 82 ST,2
029XX W 82ND ST,4
029XX W 83 ST,3
029XX W 83RD ST,8
029XX W 85 PL,1
029XX W 85 ST,5
029XX W 85TH ST,6
029XX W 86 PL,2
029XX W 86 ST,1
029XX W 86TH PL,1
029XX W 87 ST,8
029XX W 87TH ST,18
029XX W ADAMS ST,30
029XX W ADDISON ST,130
029XX W ALBION AVE,3
029XX W ALTGELD ST,13
029XX W ARGYLE ST,5
029XX W ARMITAGE AV,34
029XX W ARMITAGE AVE,6
029XX W ARTHINGTON ST,27
029XX W ARTHUR AV,4
029XX W ARTHUR AVE,6
029XX W AUGUSTA BL,24
029XX W AUGUSTA BLVD,17
029XX W AUGUSTA BV,2
029XX W Addison St,4
029XX W Addison st,1
029XX W BALMORAL AV,1
029XX W BALMORAL AVE,2
029XX W BELDEN AV,11
029XX W BELDEN AVE,5
029XX W BELLE PLAINE AV,7
029XX W BELLE PLAINE AVE,1
029XX W BELMONT AV,19
029XX W BELMONT AVE,6
029XX W BERTEAU AV,1
029XX W BERWYN AV,4
029XX W BERWYN AVE,2
029XX W BIRCHWOOD AV,1
029XX W BIRCHWOOD AVE,1
029XX W BLOOMINGDALE AVE,1
029XX W BLOOMINGDALE TRL,1
029XX W BRYN MAWR AVE,2
029XX W BURKHARDT DR,1
029XX W BYRON ST,2
029XX W CARROLL AV,13
029XX W CARROLL AVE,3
029XX W CATALPA AVE,1
029XX W CERMAK RD,18
029XX W CHASE AV,5
029XX W CHASE AVE,4
029XX W CHICAGO AV,5
029XX W CHICAGO AVE,5
029XX W COLUMBUS AV,3
029XX W COLUMBUS AVE,2
029XX W CONGRESS PKWY,3
029XX W CONGRESS PW,3
029XX W CORTEZ ST,4
029XX W CORTLAND ST,11
029XX W CULLOM AV,4
029XX W DEVON AV,16
029XX W DEVON AVE,11
029XX W DICKENS AV,19
029XX W DICKENS AVE,1
029XX W DIVERSEY AV,18
029XX W DIVERSEY AVE,6
029XX W DIVISION ST,22
029XX W EASTWOOD AV,7
029XX W EASTWOOD AVE,2
029XX W ESTES AV,1
029XX W ESTES AVE,1
029XX W FARGO AV,1
029XX W FARRAGUT AV,1
029XX W FARRAGUT AVE,4
029XX W FARWELL AV,1
029XX W FERDINAND ST,1
029XX W FIFTH AV,10
029XX W FIFTH AVE,4
029XX W FILLMORE ST,27
029XX W FITCH AV,6
029XX W FITCH AVE,4
029XX W FLETCHER ST,10
029XX W FLETCHER STREET,1
029XX W FLOURNOY ST,40
029XX W FOSTER AV,4
029XX W FOSTER AVE,6
029XX W FULLERTON AV,13
029XX W FULLERTON AVE,6
029XX W FULTON ST,38
029XX W GARFIELD BV,1
029XX W GEORGE ST,9
029XX W GIDDINGS ST,4
029XX W GLENLAKE AV,1
029XX W GRACE ST,4
029XX W GRAND AV,9
029XX W GRAND AVE,8
029XX W GRANVILLE AVE,3
029XX W GREENLEAF AV,1
029XX W GREENLEAF AVE,2
029XX W GREGORY ST,3
029XX W HARRISON ST,168
029XX W HOLLYWOOD AV,1
029XX W HOWARD ST,3
029XX W IRVING PARK RD,44
029XX W JACKSON BL,7
029XX W JACKSON BLVD,37
029XX W JACKSON BV,1
029XX W JARLATH ST,4
029XX W JARVIS AV,2
029XX W JARVIS AVE,4
029XX W JEROME ST,8
029XX W LAKE ST,25
029XX W LAWRENCE AV,7
029XX W LAWRENCE AVE,3
029XX W LELAND AV,4
029XX W LELAND AVE,1
029XX W LEXINGTON ST,30
029XX W LOGAN BL,7
029XX W LOGAN BLVD,6
029XX W LUIS MUNOZ MARIN DR N,3
029XX W LUNT AV,1
029XX W LUNT AVE,2
029XX W LYNDALE ST,24
029XX W MADISON ST,106
029XX W MANN DR,1
029XX W MARQUETTE RD,12
029XX W MC LEAN AV,3
029XX W MC LEAN AVE,3
029XX W MCLEAN AV,3
029XX W MEDILL AV,4
029XX W MEDILL AVE,8
029XX W MONROE ST,197
029XX W MONTROSE AV,7
029XX W MONTROSE AVE,3
029XX W NELSON ST,27
029XX W NORTH AV,24
029XX W NORTH AVE,11
029XX W NORTH SHORE AV,1
029XX W Nelson st,1
029XX W OGDEN AV,5
029XX W OGDEN AVE,1
029XX W PALMER ST,19
029XX W PERSHING RD,16
029XX W PETERSON AV,5
029XX W PETERSON AVE,2
029XX W POLK ST,57
029XX W POPE JOHN PAUL II DR,11
029XX W PRATT BLVD,1
029XX W Palmer St,1
029XX W REDFIELD DR,2
029XX W ROOSEVELT RD,39
029XX W ROSCOE ST,6
029XX W ROSEMONT AV,1
029XX W ROSEMONT AVE,3
029XX W SCHOOL ST,6
029XX W SCHUBERT AV,1
029XX W SEIPP ST,5
029XX W SHAKESPEARE AV,17
029XX W SHAKESPEARE AVE,2
029XX W SHERWIN AV,1
029XX W SHERWIN AVE,3
029XX W SUMMERDALE AV,5
029XX W SUMMERDALE AVE,3
029XX W SUNNYSIDE AV,2
029XX W SUNNYSIDE AVE,1
029XX W TAYLOR ST,9
029XX W THOMAS ST,1
029XX W TOUHY AV,5
029XX W TOUHY AVE,2
029XX W VAN BUREN ST,5
029XX W WABANSIA AV,12
029XX W WABANSIA AVE,5
029XX W WALNUT ST,31
029XX W WALTON ST,28
029XX W WARREN BL,9
029XX W WARREN BLVD,9
029XX W WARREN BV,19
029XX W WASHINGTON BL,24
029XX W WASHINGTON BLVD,21
029XX W WASHINGTON BV,7
029XX W WAVELAND AV,1
029XX W WAVELAND AVE,1
029XX W WELLINGTON AV,3
029XX W WILCOX ST,37
029XX W WILSON AV,5
029XX W WILSON AVE,4
029XX W Washington Blvd,1
030XX E 100 ST,1
030XX E 100TH ST,1
030XX E 104TH ST,1
030XX E 106 ST,1
030XX E 106TH ST,2
030XX E 130 ST,1
030XX E 130TH ST,6
030XX E 132 ST,2
030XX E 134 ST,2
030XX E 77 ST,2
030XX E 78 ST,8
030XX E 78 STREET,1
030XX E 78TH ST,8
030XX E 79 PL,12
030XX E 79 ST,22
030XX E 79TH PL,13
030XX E 79TH ST,13
030XX E 80 PL,11
030XX E 80 ST,10
030XX E 80TH PL,2
030XX E 80TH ST,11
030XX E 81 ST,17
030XX E 81ST ST,7
030XX E 82 ST,3
030XX E 82ND ST,2
030XX E 83 ST,15
030XX E 83RD PL,2
030XX E 83RD ST,7
030XX E 85 ST,1
030XX E 86TH ST,1
030XX E 87 ST,8
030XX E 87TH ST,13
030XX E 88 ST,2
030XX E 88TH ST,1
030XX E 90 ST,3
030XX E 90TH ST,3
030XX E 91 ST,41
030XX E 91ST ST,9
030XX E 92 ST,17
030XX E 92ND ST,10
030XX E 93 ST,11
030XX E 93RD ST,1
030XX E 95 ST,3
030XX E 95TH ST,2
030XX E 96TH ST,2
030XX E 97 ST,2
030XX E 97TH ST,2
030XX E 98 ST,1
030XX E 99 ST,1
030XX E CHELTENHAM PL,64
030XX N ALBANY AV,15
030XX N ALBANY AVE,3
030XX N ALLEN AV,3
030XX N ASHLAND AV,11
030XX N ASHLAND AVE,11
030XX N AUSTIN AV,8
030XX N AUSTIN AVE,3
030XX N AVERS AV,23
030XX N AVERS AVE,11
030XX N Allen Ave,1
030XX N BROADWAY,109
030XX N Broadway,4
030XX N CALIFORNIA AV,8
030XX N CALIFORNIA AVE,3
030XX N CENTRAL AV,11
030XX N CENTRAL AVE,11
030XX N CENTRAL PARK AV,14
030XX N CENTRAL PARK AVE,1
030XX N CHRISTIANA AV,4
030XX N CHRISTIANA AVE,10
030XX N CICERO AV,31
030XX N CICERO AVE,20
030XX N CLARK ST,71
030XX N CLIFTON AV,3
030XX N CLIFTON AVE,6
030XX N CLYBOURN AV,13
030XX N CLYBOURN AVE,6
030XX N Clybourn Ave,1
030XX N DAMEN AV,14
030XX N DAMEN AVE,1
030XX N DAVLIN CT,27
030XX N DRAKE AV,6
030XX N DRAKE AVE,1
030XX N ELBRIDGE AV,22
030XX N ELBRIDGE AVE,8
030XX N ELSTON AV,10
030XX N ELSTON AVE,6
030XX N FRANCISCO AV,3
030XX N FRANCISCO AVE,2
030XX N GREENVIEW AV,7
030XX N GREENVIEW AVE,2
030XX N GRESHAM AV,14
030XX N GRESHAM AVE,9
030XX N HALSTED ST,92
030XX N HAMILTON AV,8
030XX N HAMLIN AV,15
030XX N HAMLIN AVE,5
030XX N HARLEM AV,7
030XX N HARLEM AVE,5
030XX N HAUSSEN CT,29
030XX N HONORE ST,7
030XX N HOYNE AV,9
030XX N HOYNE AVE,3
030XX N KARLOV AV,1
030XX N KARLOV AVE,5
030XX N KEARSARGE AVE,1
030XX N KEATING AV,14
030XX N KEATING AVE,7
030XX N KEDZIE AV,15
030XX N KEDZIE AVE,7
030XX N KENMORE AV,9
030XX N KENMORE AVE,3
030XX N KENNETH AV,5
030XX N KENNETH AVE,7
030XX N KILBOURN AV,3
030XX N KILBOURN AVE,19
030XX N KILPATRICK AV,13
030XX N KILPATRICK AVE,16
030XX N KIMBALL AV,11
030XX N KIMBALL AVE,6
030XX N KNOX AV,10
030XX N KNOX AVE,3
030XX N KOLMAR AV,9
030XX N KOLMAR AVE,2
030XX N KOSTNER AV,12
030XX N KOSTNER AVE,1
030XX N LAKE SHORE DR,6
030XX N LAKE SHORE DR NB,1
030XX N LAKEWOOD AV,3
030XX N LAMON AV,9
030XX N LAMON AVE,4
030XX N LARAMIE AV,7
030XX N LARAMIE AVE,4
030XX N LAVERGNE AV,2
030XX N LAVERGNE AVE,2
030XX N LAWNDALE AV,1
030XX N LAWNDALE AVE,1
030XX N LEAVITT ST,11
030XX N LECLAIRE AV,3
030XX N LECLAIRE AVE,4
030XX N LINCOLN AV,14
030XX N LINCOLN AVE,8
030XX N LINDER AV,2
030XX N LINDER AVE,6
030XX N LOCKWOOD AV,6
030XX N LOCKWOOD AVE,9
030XX N LONG AV,5
030XX N LONG AVE,7
